0	2023-09-05T17:17:11.134Z	-0.0023851971889938817	2.7834001185240256
1	2023-09-05T17:17:12.369Z	2.7787654192465467	-0.006688846518081215	1235
2	2023-09-05T17:17:13.606Z	-0.0023851971889938817	2.7843932683691994	1237
3	2023-09-05T17:17:14.842Z	2.7744617699174596	-0.006026746621298429	1236
4	2023-09-05T17:17:16.077Z	-0.0013920473438198133	2.7817448687820687	1235
5	2023-09-05T17:17:17.313Z	2.7761170196594165	-0.008013046311646344	1236
6	2023-09-05T17:17:18.549Z	-0.0027162471373851638	2.7804206689885036	1236
7	2023-09-05T17:17:19.782Z	2.775785969711025	-0.007681996363255061	1233
8	2023-09-05T17:17:21.018Z	-0.003047297085776446	2.780751718936895	1236
9	2023-09-05T17:17:22.252Z	2.7764480696078078	-0.006357796569689711	1234
10	2023-09-05T17:17:23.488Z	-0.0027162471373851638	2.7814138188336774	1236
11	2023-09-05T17:17:24.724Z	2.774792819865851	-0.008013046311646344	1236
12	2023-09-05T17:17:25.959Z	-0.00337834703416795	2.7814138188336774	1235
13	2023-09-05T17:17:27.195Z	2.775454919762634	-0.007019896466472497	1236
14	2023-09-05T17:17:28.431Z	-0.00337834703416795	2.7814138188336774	1236
15	2023-09-05T17:17:29.665Z	2.778103319349764	-0.006357796569689711	1234
16	2023-09-05T17:17:30.901Z	-0.0017230972922113175	2.782738018627243	1236
17	2023-09-05T17:17:32.137Z	2.777772269401373	-0.005695696672907147	1236
18	2023-09-05T17:17:33.373Z	-0.0017230972922113175	2.783731168472417	1236
19	2023-09-05T17:17:34.607Z	2.778103319349764	-0.007681996363255061	1234
20	2023-09-05T17:17:35.843Z	-0.0023851971889938817	2.784062218420808	1236
21	2023-09-05T17:17:37.078Z	2.7784343692981555	-0.008013046311646344	1235
22	2023-09-05T17:17:38.315Z	-0.0027162471373851638	2.784062218420808	1237
23	2023-09-05T17:17:39.550Z	2.778103319349764	-0.007019896466472497	1235
24	2023-09-05T17:17:40.787Z	-0.00337834703416795	2.7834001185240256	1237
25	2023-09-05T17:17:42.022Z	2.778103319349764	-0.009006196156820412	1235
26	2023-09-05T17:17:43.258Z	-0.0020541472406025996	2.783731168472417	1236
27	2023-09-05T17:17:44.494Z	2.7764480696078078	-0.007681996363255061	1236
28	2023-09-05T17:17:45.731Z	-0.004040446930950514	2.7824069686788517	1237
29	2023-09-05T17:17:46.966Z	2.7784343692981555	-0.006688846518081215	1235
30	2023-09-05T17:17:48.205Z	-0.0027162471373851638	2.7834001185240256	1239
31	2023-09-05T17:17:49.440Z	2.777772269401373	-0.007019896466472497	1235
32	2023-09-05T17:17:50.677Z	-0.0017230972922113175	2.7834001185240256	1237
33	2023-09-05T17:17:51.912Z	2.779096469194938	-0.007350946414863779	1235
34	2023-09-05T17:17:53.148Z	-0.004040446930950514	2.7830690685756343	1236
35	2023-09-05T17:17:54.382Z	2.7774412194529816	-0.007681996363255061	1234
36	2023-09-05T17:17:55.619Z	-0.000398897498645967	2.7834001185240256	1237
37	2023-09-05T17:17:56.855Z	2.7784343692981555	-0.008013046311646344	1236
38	2023-09-05T17:17:58.092Z	-0.0010609973954285312	2.7830690685756343	1237
39	2023-09-05T17:17:59.328Z	2.7787654192465467	-0.008344096260037848	1236
40	2023-09-05T17:18:00.564Z	-0.0027162471373851638	2.7824069686788517	1236
41	2023-09-05T17:18:01.801Z	2.7787654192465467	-0.007019896466472497	1237
42	2023-09-05T17:18:03.038Z	-0.003047297085776446	2.784062218420808	1237
43	2023-09-05T17:18:04.273Z	2.7774412194529816	-0.007019896466472497	1235
44	2023-09-05T17:18:05.510Z	-0.0010609973954285312	2.7843932683691994	1237
45	2023-09-05T17:18:06.747Z	2.7787654192465467	-0.007350946414863779	1237
46	2023-09-05T17:18:07.982Z	-0.0023851971889938817	2.7830690685756343	1235
47	2023-09-05T17:18:09.218Z	2.7774412194529816	-0.007019896466472497	1236
48	2023-09-05T17:18:10.455Z	-0.0020541472406025996	2.783731168472417	1237
49	2023-09-05T17:18:11.690Z	2.777772269401373	-0.006688846518081215	1235
50	2023-09-05T17:18:12.928Z	-0.0013920473438198133	2.783731168472417	1238
51	2023-09-05T17:18:14.165Z	2.7784343692981555	-0.006357796569689711	1237
52	2023-09-05T17:18:15.401Z	-0.0020541472406025996	2.7830690685756343	1236
53	2023-09-05T17:18:16.637Z	2.777772269401373	-0.007681996363255061	1236
54	2023-09-05T17:18:17.873Z	-0.0017230972922113175	2.783731168472417	1236
55	2023-09-05T17:18:19.109Z	2.7784343692981555	-0.007350946414863779	1236
56	2023-09-05T17:18:20.345Z	-0.003709396982559232	2.782738018627243	1236
57	2023-09-05T17:18:21.580Z	2.775785969711025	-0.006357796569689711	1235
58	2023-09-05T17:18:22.816Z	-0.0020541472406025996	2.7830690685756343	1236
59	2023-09-05T17:18:24.051Z	2.7784343692981555	-0.006357796569689711	1235
60	2023-09-05T17:18:25.288Z	-0.0023851971889938817	2.7847243183175907	1237
61	2023-09-05T17:18:26.523Z	2.775785969711025	-0.008013046311646344	1235
62	2023-09-05T17:18:27.760Z	-0.0023851971889938817	2.7820759187304605	1237
63	2023-09-05T17:18:28.995Z	2.7774412194529816	-0.007019896466472497	1235
64	2023-09-05T17:18:30.230Z	-0.0020541472406025996	2.78704166795633	1235
65	2023-09-05T17:18:31.465Z	2.777772269401373	-0.006688846518081215	1235
66	2023-09-05T17:18:32.700Z	-0.0027162471373851638	2.7853864182143733	1235
67	2023-09-05T17:18:33.935Z	2.7787654192465467	-0.006688846518081215	1235
