0	2023-09-05T20:28:27.833Z	2.773799670020677	-0.008013046311646344
1	2023-09-05T20:28:29.009Z	-0.0013920473438198133	2.7797585690917206	1176
2	2023-09-05T20:28:30.183Z	2.773137570123894	-0.007350946414863779	1174
3	2023-09-05T20:28:31.359Z	-0.0023851971889938817	2.780089619040112	1176
4	2023-09-05T20:28:32.534Z	2.773137570123894	-0.005695696672907147	1175
5	2023-09-05T20:28:33.710Z	-0.00337834703416795	2.780089619040112	1176
6	2023-09-05T20:28:34.888Z	2.7741307199690683	-0.008013046311646344	1178
7	2023-09-05T20:28:36.063Z	-0.0013920473438198133	2.7797585690917206	1175
8	2023-09-05T20:28:37.236Z	2.774792819865851	-0.005364646724515865	1173
9	2023-09-05T20:28:38.412Z	-0.0027162471373851638	2.7787654192465467	1176
10	2023-09-05T20:28:39.586Z	2.7734686200722853	-0.006688846518081215	1174
11	2023-09-05T20:28:40.762Z	-0.0027162471373851638	2.7794275191433293	1176
12	2023-09-05T20:28:41.936Z	2.775785969711025	-0.005364646724515865	1174
13	2023-09-05T20:28:43.110Z	-0.0013920473438198133	2.780089619040112	1174
14	2023-09-05T20:28:44.285Z	2.7734686200722853	-0.006357796569689711	1175
15	2023-09-05T20:28:45.460Z	-0.0010609973954285312	2.7804206689885036	1175
16	2023-09-05T20:28:46.635Z	2.773799670020677	-0.006688846518081215	1175
17	2023-09-05T20:28:47.810Z	-0.0010609973954285312	2.777772269401373	1175
18	2023-09-05T20:28:48.984Z	2.774792819865851	-0.0050335967761245826	1174
19	2023-09-05T20:28:50.160Z	-0.0013920473438198133	2.779096469194938	1176
20	2023-09-05T20:28:51.335Z	2.7744617699174596	-0.007681996363255061	1175
21	2023-09-05T20:28:52.510Z	-0.0010609973954285312	2.7784343692981555	1175
22	2023-09-05T20:28:53.685Z	2.774792819865851	-0.006688846518081215	1175
23	2023-09-05T20:28:54.861Z	-0.000398897498645967	2.7794275191433293	1176
24	2023-09-05T20:28:56.036Z	2.7724754702271115	-0.0050335967761245826	1175
25	2023-09-05T20:28:57.213Z	-0.0017230972922113175	2.7797585690917206	1177
26	2023-09-05T20:28:58.388Z	2.7734686200722853	-0.006357796569689711	1175
27	2023-09-05T20:28:59.563Z	-0.0027162471373851638	2.779096469194938	1175
28	2023-09-05T20:29:00.739Z	2.7744617699174596	-0.007350946414863779	1176
29	2023-09-05T20:29:01.914Z	-0.000398897498645967	2.7797585690917206	1175
30	2023-09-05T20:29:03.088Z	2.775454919762634	-0.005695696672907147	1174
31	2023-09-05T20:29:04.263Z	-0.003047297085776446	2.7794275191433293	1175
32	2023-09-05T20:29:05.438Z	2.7714823203819376	-0.006357796569689711	1175
33	2023-09-05T20:29:06.614Z	-0.0007299474470372491	2.779096469194938	1176
34	2023-09-05T20:29:07.788Z	2.775123869814242	-0.005695696672907147	1174
35	2023-09-05T20:29:08.965Z	-0.003047297085776446	2.7787654192465467	1177
36	2023-09-05T20:29:10.138Z	2.773137570123894	-0.00337834703416795	1173
37	2023-09-05T20:29:11.314Z	-0.0010609973954285312	2.7794275191433293	1176
38	2023-09-05T20:29:12.488Z	2.773799670020677	-0.006688846518081215	1174
39	2023-09-05T20:29:13.665Z	-0.0007299474470372491	2.776779119556199	1177
40	2023-09-05T20:29:14.839Z	2.7741307199690683	-0.005364646724515865	1174
41	2023-09-05T20:29:16.015Z	-0.0010609973954285312	2.7787654192465467	1176
42	2023-09-05T20:29:17.190Z	2.775123869814242	-0.006357796569689711	1175
43	2023-09-05T20:29:18.367Z	-0.0020541472406025996	2.7787654192465467	1177
44	2023-09-05T20:29:19.543Z	2.7734686200722853	-0.006026746621298429	1176
45	2023-09-05T20:29:20.720Z	-0.0027162471373851638	2.7814138188336774	1177
46	2023-09-05T20:29:21.895Z	2.775123869814242	-0.006026746621298429	1175
47	2023-09-05T20:29:23.073Z	-0.0027162471373851638	2.776779119556199	1178
48	2023-09-05T20:29:24.248Z	2.7744617699174596	-0.005695696672907147	1175
49	2023-09-05T20:29:25.426Z	-0.0017230972922113175	2.7787654192465467	1178
50	2023-09-05T20:29:26.601Z	2.7728065201755028	-0.00867514620842913	1175
51	2023-09-05T20:29:27.779Z	-0.0017230972922113175	2.7784343692981555	1178
52	2023-09-05T20:29:28.955Z	2.7741307199690683	-0.007019896466472497	1176
53	2023-09-05T20:29:30.131Z	-0.0007299474470372491	2.780089619040112	1176
54	2023-09-05T20:29:31.306Z	2.7734686200722853	-0.007019896466472497	1175
55	2023-09-05T20:29:32.479Z	-0.00337834703416795	2.780751718936895	1173
56	2023-09-05T20:29:33.655Z	2.773137570123894	-0.006688846518081215	1176
57	2023-09-05T20:29:34.831Z	-0.0023851971889938817	2.7784343692981555	1176
58	2023-09-05T20:29:36.006Z	2.775454919762634	-0.006688846518081215	1175
59	2023-09-05T20:29:37.182Z	-0.0007299474470372491	2.777772269401373	1176
60	2023-09-05T20:29:38.359Z	2.774792819865851	-0.006688846518081215	1177
61	2023-09-05T20:29:39.535Z	-0.0020541472406025996	2.7787654192465467	1176
62	2023-09-05T20:29:40.711Z	2.774792819865851	-0.007019896466472497	1176
63	2023-09-05T20:29:41.886Z	-0.00006784755025468492	2.7794275191433293	1175
64	2023-09-05T20:29:43.062Z	2.7734686200722853	-0.006688846518081215	1176
65	2023-09-05T20:29:44.240Z	-0.0017230972922113175	2.7797585690917206	1178
66	2023-09-05T20:29:45.413Z	2.774792819865851	-0.006357796569689711	1173
67	2023-09-05T20:29:46.588Z	-0.0020541472406025996	2.7794275191433293	1175
