0	2023-09-05T22:18:16.922Z	2.8026010155307226	-0.0050335967761245826
1	2023-09-05T22:18:18.095Z	-0.0023851971889938817	2.8065736149114184	1173
2	2023-09-05T22:18:19.267Z	2.8016078656855488	-0.006688846518081215	1172
3	2023-09-05T22:18:20.440Z	-0.003047297085776446	2.8082288646533753	1173
4	2023-09-05T22:18:21.612Z	2.801276815737157	-0.006688846518081215	1172
5	2023-09-05T22:18:22.785Z	-0.0023851971889938817	2.8059115150146354	1173
6	2023-09-05T22:18:23.957Z	2.80193891563394	-0.005695696672907147	1172
7	2023-09-05T22:18:25.130Z	-0.0020541472406025996	2.8069046648598097	1173
8	2023-09-05T22:18:26.302Z	2.8016078656855488	-0.006357796569689711	1172
9	2023-09-05T22:18:27.475Z	-0.0023851971889938817	2.8069046648598097	1173
10	2023-09-05T22:18:28.647Z	2.8026010155307226	-0.008013046311646344	1172
11	2023-09-05T22:18:29.821Z	-0.0007299474470372491	2.8065736149114184	1174
12	2023-09-05T22:18:30.993Z	2.8009457657887658	-0.006026746621298429	1172
13	2023-09-05T22:18:32.166Z	-0.0023851971889938817	2.8065736149114184	1173
14	2023-09-05T22:18:33.338Z	2.800283665891983	-0.006688846518081215	1172
15	2023-09-05T22:18:34.511Z	-0.0027162471373851638	2.8059115150146354	1173
16	2023-09-05T22:18:35.683Z	2.8016078656855488	-0.006026746621298429	1172
17	2023-09-05T22:18:36.855Z	-0.0020541472406025996	2.808890964550158	1172
18	2023-09-05T22:18:38.027Z	2.8022699655823313	-0.006357796569689711	1172
19	2023-09-05T22:18:39.199Z	-0.0027162471373851638	2.8065736149114184	1172
20	2023-09-05T22:18:40.370Z	2.802932065479114	-0.006688846518081215	1171
21	2023-09-05T22:18:41.544Z	-0.0027162471373851638	2.8065736149114184	1174
22	2023-09-05T22:18:42.715Z	2.80193891563394	-0.006357796569689711	1171
23	2023-09-05T22:18:43.888Z	-0.0020541472406025996	2.808890964550158	1173
24	2023-09-05T22:18:45.061Z	2.803263115427505	-0.005364646724515865	1173
25	2023-09-05T22:18:46.233Z	-0.0017230972922113175	2.807235714808201	1172
26	2023-09-05T22:18:47.405Z	2.802932065479114	-0.007019896466472497	1172
27	2023-09-05T22:18:48.576Z	-0.0020541472406025996	2.8078978147049836	1171
28	2023-09-05T22:18:49.748Z	2.801276815737157	-0.006026746621298429	1172
29	2023-09-05T22:18:50.921Z	-0.0023851971889938817	2.8075667647565923	1173
30	2023-09-05T22:18:52.093Z	2.8009457657887658	-0.006688846518081215	1172
31	2023-09-05T22:18:53.265Z	-0.00337834703416795	2.8078978147049836	1172
32	2023-09-05T22:18:54.439Z	2.801276815737157	-0.008344096260037848	1174
33	2023-09-05T22:18:55.611Z	-0.0017230972922113175	2.8075667647565923	1172
34	2023-09-05T22:18:56.782Z	2.8026010155307226	-0.008344096260037848	1171
35	2023-09-05T22:18:57.956Z	-0.0013920473438198133	2.8075667647565923	1174
