#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DECA
#Date Time: 2023-12-10 05:49:27.792
#Sample rate: 400000Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1.6 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -2.95 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2 V Attenuation: 1 X Sample Mode: Average
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 3.1 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.01423944053398058,3.045880212723865,-0.00180451349021485
-0.01423694053398058,3.046542312620648,-0.002138256819830708
-0.01423444053398058,3.045880212723866,-0.001804513490215306
-0.01423194053398058,3.045549162775474,-0.002138256819830405
-0.01422944053398058,3.045549162775473,-0.001804513490215154
-0.01422694053398058,3.045880212723865,-0.001804513490215154
-0.01422444053398058,3.045880212723865,-0.002138256819830557
-0.01422194053398058,3.045549162775474,-0.001470770160600651
-0.01421944053398058,3.045549162775473,-0.001804513490215154
-0.01421694053398058,3.045880212723865,-0.002138256819830557
-0.01421444053398058,3.045549162775474,-0.001804513490215457
-0.01421194053398058,3.045549162775473,-0.001804513490215154
-0.01420944053398058,3.045880212723865,-0.001804513490215154
-0.01420694053398058,3.045218112827083,-0.002138256819830557
-0.01420444053398058,3.045880212723865,-0.002472000149445515
-0.01420194053398058,3.045218112827082,-0.001804513490215154
-0.01419944053398058,3.045549162775473,-0.002138256819830557
-0.01419694053398058,3.045880212723865,-0.001470770160600347
-0.01419444053398058,3.045549162775474,-0.002472000149445667
-0.01419194053398058,3.046211262672256,-0.002138256819830708
-0.01418944053398058,3.045880212723865,-0.001804513490215306
-0.01418694053398058,3.045880212723865,-0.002472000149445212
-0.01418444053398058,3.045880212723865,-0.001470770160600043
-0.01418194053398058,3.045549162775473,-0.001137026830984641
-0.01417944053398058,3.045880212723865,-0.00180451349021485
-0.01417694053398058,3.045549162775474,-0.002138256819830405
-0.01417444053398058,3.045549162775473,-0.001804513490215154
-0.01417194053398058,3.045549162775473,-0.001804513490215154
-0.01416944053398058,3.045880212723865,-0.002138256819830405
-0.01416694053398058,3.045880212723865,-0.001804513490215154
-0.01416444053398058,3.045880212723865,-0.002138256819830708
-0.01416194053398058,3.045880212723865,-0.001804513490215306
-0.01415944053398058,3.045880212723865,-0.001470770160600347
-0.01415694053398058,3.045549162775473,-0.001804513490215154
-0.01415444053398058,3.045880212723865,-0.002138256819830557
-0.01415194053398058,3.045549162775474,-0.001804513490215457
-0.01414944053398058,3.045549162775473,-0.001470770160600195
-0.01414694053398058,3.045549162775473,-0.001804513490215154
-0.01414444053398058,3.045549162775473,-0.002138256819830557
-0.01414194053398058,3.045549162775473,-0.001804513490215457
-0.01413944053398058,3.045549162775473,-0.001804513490215154
-0.01413694053398058,3.045218112827082,-0.002138256819830557
-0.01413444053398058,3.042900763188344,-0.002138256819830708
-0.01413194053398058,3.043231813136734,-0.001470770160600043
-0.01412944053398058,3.043231813136734,-0.001470770160600043
-0.01412694053398058,3.044224962981908,-0.001804513490215002
-0.01412444053398058,3.044556012930299,-0.001470770160600347
-0.01412194053398058,3.044224962981908,-0.001804513490215154
-0.01411944053398058,3.045218112827082,-0.001804513490215154
-0.01411694053398058,3.045218112827082,-0.002138256819830557
-0.01411444053398058,3.045880212723865,-0.002138256819830708
-0.01411194053398058,3.045218112827082,-0.001470770160600043
-0.01410944053398058,3.045218112827082,-0.001804513490215002
-0.01410694053398058,3.045218112827082,-0.002138256819830405
-0.01410444053398058,3.045880212723865,-0.002472000149445515
-0.01410194053398058,3.045549162775473,-0.001804513490215154
-0.01409944053398058,3.045218112827082,-0.001470770160600195
-0.01409694053398058,3.045218112827082,-0.00180451349021485
-0.01409444053398058,3.045880212723865,-0.001804513490215154
-0.01409194053398058,3.043893913033518,-0.002138256819830557
-0.01408944053398058,3.044556012930299,-0.002138256819830708
-0.01408694053398058,3.045218112827082,-0.001804513490215154
-0.01408444053398058,3.044887062878691,-0.001804513490215154
-0.01408194053398058,3.044887062878691,-0.001470770160600195
-0.01407944053398058,3.0445560129303,-0.00180451349021485
-0.01407694053398058,3.045549162775473,-0.002138256819830708
-0.01407444053398058,3.045549162775473,-0.002138256819830708
-0.01407194053398058,3.045549162775473,-0.002138256819830708
-0.01406944053398058,3.045549162775473,-0.002138256819830708
-0.01406694053398058,3.045549162775473,-0.001804513490215154
-0.01406444053398058,3.044887062878691,-0.001804513490215154
-0.01406194053398058,3.045218112827082,-0.002138256819830405
-0.01405944053398058,3.045880212723865,-0.002138256819830708
-0.01405694053398058,3.045880212723865,-0.002138256819830708
-0.01405444053398058,3.045880212723865,-0.001804513490215306
-0.01405194053398058,3.045218112827083,-0.001470770160600347
-0.01404944053398058,3.045218112827082,-0.002138256819830708
-0.01404694053398058,3.045880212723865,-0.002138256819830708
-0.01404444053398058,3.045880212723865,-0.002472000149445515
-0.01404194053398058,3.045549162775473,-0.002138256819830708
-0.01403944053398058,3.045549162775473,-0.002138256819830708
-0.01403694053398058,3.045549162775473,-0.00280574347906107
-0.01403444053398058,3.045549162775473,-0.002138256819831316
-0.01403194053398058,3.045880212723865,-0.002138256819830708
-0.01402944053398058,3.045880212723865,-0.002138256819830708
-0.01402694053398058,3.046211262672256,-0.002138256819830708
-0.01402444053398058,3.045880212723865,-0.001804513490215002
-0.01402194053398058,3.045218112827082,-0.001470770160600043
