#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DECA
#Date Time: 2023-12-10 05:50:18.273
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1.6 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -2.95 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2 V Attenuation: 1 X Sample Mode: Average
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 3.1 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.001580261761340417,2.933985330167596,-0.001470770160600043
-0.001579631761340417,2.94623417825807,-0.002138256819830405
-0.001579001761340417,2.948551527896815,-0.002138256819830708
-0.001578371761340417,2.940937379083812,-0.001804513490215154
-0.001577741761340417,2.936964779703118,-0.001804513490215154
-0.001577111761340417,2.914784433160899,-0.0004695401717538239
-0.001576481761340417,2.931999030477241,-0.001470770160599588
-0.001575851761340417,2.946234178258075,-0.001804513490215154
-0.001575221761340417,2.948882577845206,-0.001804513490215154
-0.001574591761340417,2.943585778670947,-0.001470770160600195
-0.001573961761340417,2.937626879599901,-0.001137026830984489
-0.001573331761340417,2.939613179290249,-0.001137026830984641
-0.001572701761340417,2.940275279187031,-0.001470770160600043
-0.001572071761340417,2.941599478980597,-0.001804513490215154
-0.001571441761340417,2.941930528928979,-0.001804513490214395
-0.001570811761340417,2.920743332231943,-0.0001357968421382694
-0.001570181761340417,2.930343780735292,-0.0008032835013689343
-0.001569551761340417,2.94689627815485,-0.00147077016059974
-0.001568921761340417,2.949544677741989,-0.001470770160600043
-0.001568291761340417,2.946896278154854,-0.001804513490215306
-0.001567661761340417,2.938288979496683,-0.002138256819830708
-0.001567031761340417,2.940937379083814,-0.002138256819830708
-0.001566401761340417,2.941268429032206,-0.002138256819830557
-0.001565771761340417,2.94226157887738,-0.001804513490215154
-0.001565141761340417,2.941599478980597,-0.001804513490215154
-0.001564511761340417,2.943916828619335,-0.001804513490215154
-0.001563881761340417,2.943254728722553,-0.001804513490215154
-0.001563251761340417,2.943585778670945,-0.001137026830984641
-0.001562621761340417,2.943254728722553,-0.001470770160600043
-0.001561991761340417,2.943585778670945,-0.001137026830984489
-0.001561361761340417,2.943254728722554,-0.001470770160600043
-0.001560731761340417,2.943916828619336,-0.001470770160600043
-0.001560101761340417,2.943916828619336,-0.001804513490215154
-0.001559471761340417,2.942923678774163,-0.001470770160600195
-0.001558841761340417,2.942923678774162,-0.001470770160600043
-0.001558211761340417,2.943585778670945,-0.001470770160600043
-0.001557581761340417,2.943254728722553,-0.001804513490215154
-0.001556951761340417,2.943585778670945,-0.001804513490215154
-0.001556321761340417,2.942923678774163,-0.001804513490215002
-0.001555691761340417,2.944247878567727,-0.001470770160600043
-0.001555061761340417,2.942923678774162,-0.001137026830984489
-0.001554431761340417,2.942923678774162,-0.001137026830984489
-0.001553801761340417,2.943254728722553,-0.001470770160600043
-0.001553171761340417,2.943916828619336,-0.001470770160600043
-0.001552541761340417,2.942923678774162,-0.001137026830984489
-0.001551911761340417,2.943585778670945,-0.001470770160600043
-0.001551281761340417,2.942923678774163,-0.001470770160600195
-0.001550651761340417,2.943916828619336,-0.001804513490215154
-0.001550021761340417,2.942923678774162,-0.001137026830984489
-0.001549391761340417,2.943254728722553,-0.001470770160599892
-0.001548761761340417,2.942923678774162,-0.001470770160600043
-0.001548131761340417,2.943916828619336,-0.002138256819830708
-0.001547501761340417,2.943585778670945,-0.002472000149445667
-0.001546871761340417,2.942592628825771,-0.001804513490215154
-0.001546241761340417,2.942592628825769,-0.001804513490215002
-0.001545611761340417,2.938951079393466,-0.001470770160600043
-0.001544981761340417,2.911804983625377,-0.0008032835013689343
-0.001544351761340417,2.944247878567713,-0.001804513490214698
-0.001543721761340417,2.949213627793597,-0.001804513490215154
-0.001543091761340417,2.94987572769038,-0.001804513490215154
-0.001542461761340417,2.936633729754733,-0.001470770160600195
-0.001541831761340417,2.939613179290249,-0.001804513490215154
-0.001541201761340417,2.936302679806336,-0.0008032835013690861
-0.001540571761340417,2.936633729754727,-0.001137026830984489
-0.001539941761340417,2.937957929548292,-0.001470770160600043
-0.001539311761340417,2.941930528928987,-0.001804513490215002
-0.001538681761340417,2.940275279187031,-0.001137026830984489
-0.001538051761340417,2.942592628825771,-0.001470770160600043
-0.001537421761340417,2.909156584038262,0.0001979464874760821
-0.001536791761340417,2.943254728722553,-0.001137026830984489
-0.001536161761340417,2.949213627793598,-0.001137026830984489
-0.001535531761340417,2.950206777638771,-0.001137026830984489
-0.001534901761340417,2.939613179290249,-0.0008032835013689343
-0.001534271761340417,2.940275279187031,-0.0008032835013693896
-0.001533641761340417,2.940275279187031,-0.001804513490215154
-0.001533011761340417,2.94226157887738,-0.001470770160600043
-0.001532381761340417,2.940937379083814,-0.001804513490215002
-0.001531751761340417,2.942592628825771,-0.001804513490215154
-0.001531121761340417,2.909487633986653,-0.0001357968421390282
-0.001530491761340417,2.941599478980597,-0.001804513490215154
-0.001529861761340417,2.948882577845206,-0.002472000149445819
-0.001529231761340417,2.949875727690376,-0.002138256819830405
-0.001528601761340417,2.940937379083814,-0.001470770160600043
-0.001527971761340417,2.940275279187031,-0.001470770160600043
-0.001527341761340417,2.940606329135423,-0.001804513490215002
-0.001526711761340417,2.941599478980597,-0.001470770160600043
-0.001526081761340417,2.94226157887738,-0.001804513490215154
-0.001525451761340417,2.942923678774162,-0.001470770160600043
-0.001524821761340417,2.943254728722553,-0.001470770160600043
-0.001524191761340417,2.943585778670944,-0.001470770160599892
-0.001523561761340417,2.942592628825771,-0.001137026830984489
-0.001522931761340417,2.942923678774162,-0.001470770160600043
-0.001522301761340417,2.942923678774162,-0.001470770160600043
-0.001521671761340417,2.942923678774162,-0.001470770160600043
-0.001521041761340417,2.942923678774162,-0.001804513490215154
-0.001520411761340417,2.942923678774162,-0.001804513490215154
-0.001519781761340417,2.943254728722553,-0.001804513490215154
-0.001519151761340417,2.943254728722554,-0.001470770160600195
-0.001518521761340417,2.943916828619336,-0.001804513490215154
-0.001517891761340417,2.944247878567727,-0.001470770160600043
-0.001517261761340417,2.943916828619336,-0.001470770160600043
-0.001516631761340417,2.943916828619336,-0.001470770160600043
-0.001516001761340417,2.943254728722553,-0.001470770160600043
-0.001515371761340417,2.942923678774162,-0.001470770160600043
-0.001514741761340417,2.942923678774162,-0.001137026830984489
-0.001514111761340417,2.94259262882577,-0.001470770160600043
-0.001513481761340417,2.941930528928988,-0.001470770160600043
-0.001512851761340417,2.94226157887738,-0.001804513490215154
-0.001512221761340417,2.94226157887738,-0.001137026830984792
-0.001511591761340417,2.942592628825771,-0.002138256819830708
-0.001510961761340417,2.94226157887738,-0.001804513490215154
-0.001510331761340417,2.942592628825771,-0.002138256819830557
-0.001509701761340417,2.940937379083814,-0.001470770160600043
-0.001509071761340417,2.942261578877379,-0.001804513490215002
-0.001508441761340417,2.940937379083814,-0.001470770160600043
-0.001507811761340417,2.941268429032205,-0.001137026830984489
-0.001507181761340417,2.940275279187032,-0.001137026830984489
-0.001506551761340417,2.93994422923864,-0.0008032835013689343
-0.001505921761340417,2.937957929548292,-0.001137026830984489
-0.001505291761340417,2.937626879599901,-0.001137026830984489
-0.001504661761340417,2.913129183418943,-0.0004695401717538239
-0.001504031761340417,2.934316380115993,-0.001470770160600043
-0.001503401761340417,2.946565228206467,-0.001470770160600043
-0.001502771761340417,2.948551527896815,-0.001804513490215154
-0.001502141761340417,2.940275279187031,-0.001804513490215002
-0.001501511761340417,2.937957929548292,-0.001470770160600043
-0.001500881761340417,2.913791283315725,-0.0001357968421382694
-0.001500251761340417,2.932992180322413,-0.001470770160599436
-0.001499621761340417,2.945903128309684,-0.001804513490215154
-0.001498991761340417,2.948882577845203,-0.002138256819830405
-0.001498361761340417,2.942923678774162,-0.001470770160600043
-0.001497731761340417,2.938288979496683,-0.001470770160600043
-0.001497101761340417,2.939944229238641,-0.001804513490215002
-0.001496471761340417,2.940937379083814,-0.001470770160600043
-0.001495841761340417,2.943254728722553,-0.002138256819830708
-0.001495211761340417,2.942923678774162,-0.001804513490215306
-0.001494581761340417,2.920081232335161,-0.0008032835013689343
-0.001493951761340417,2.932661130374038,-0.001137026830984792
-0.001493321761340417,2.947889428000032,-0.001804513490215154
-0.001492691761340417,2.94987572769038,-0.001137026830984489
-0.001492061761340417,2.946565228206463,-0.001137026830984337
-0.001491431761340417,2.937626879599901,-0.0008032835013689343
-0.001490801761340417,2.93994422923864,-0.001470770160600043
-0.001490171761340417,2.940275279187031,-0.001137026830984641
-0.001489541761340417,2.941930528928988,-0.001804513490215154
-0.001488911761340417,2.940937379083814,-0.001470770160600043
-0.001488281761340417,2.943254728722553,-0.001470770160600043
-0.001487651761340417,2.943254728722553,-0.002138256819830708
-0.001487021761340417,2.943916828619336,-0.001470770160600043
-0.001486391761340417,2.943585778670945,-0.001470770160600043
-0.001485761761340417,2.943254728722553,-0.001470770160600043
-0.001485131761340417,2.943585778670945,-0.001804513490215002
-0.001484501761340417,2.944247878567727,-0.001804513490215154
-0.001483871761340417,2.94490997846451,-0.001804513490215154
-0.001483241761340417,2.943585778670945,-0.002138256819830708
-0.001482611761340417,2.943585778670945,-0.001804513490215154
-0.001481981761340417,2.944247878567726,-0.001470770160599892
