#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DECA
#Date Time: 2023-12-10 05:55:18.131
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Falling Level: 1.6 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -2.95 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2 V Attenuation: 1 X Sample Mode: Average
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 3.1 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-5.190848434698662e-05,2.93233008042564,2.93380181380654
-5.188848434698662e-05,2.937295829651509,2.935136787125002
-5.186848434698662e-05,2.937295829651508,2.937139247102694
-5.184848434698663e-05,2.933654280219207,2.937139247102694
-5.182848434698662e-05,2.933985330167596,2.935804273784232
-5.180848434698662e-05,2.937957929548292,2.934469300465771
-5.178848434698662e-05,2.942592628825771,2.93880796375077
-5.176848434698663e-05,2.938620029445077,2.941144167058077
-5.174848434698662e-05,2.935309529961162,2.939809193739617
-5.172848434698662e-05,2.935640579909553,2.937472990432309
-5.170848434698662e-05,2.93994422923864,2.938474220421155
-5.168848434698661e-05,2.94226157887738,2.938474220421156
-5.166848434698662e-05,2.94226157887738,2.940142937069232
-5.164848434698662e-05,2.940937379083814,2.939809193739617
-5.162848434698662e-05,2.940606329135423,2.940476680398847
-5.160848434698662e-05,2.941930528928988,2.940810423728464
-5.158848434698663e-05,2.941930528928988,2.942479140376539
-5.156848434698662e-05,2.943916828619336,2.94247914037654
-5.154848434698662e-05,2.941268429032205,2.94314662703577
-5.152848434698662e-05,2.940606329135423,2.943814113695001
-5.150848434698663e-05,2.941599478980596,2.943814113695001
-5.148848434698662e-05,2.94490997846451,2.94247914037654
-5.146848434698662e-05,2.947227328103249,2.944147857024617
-5.144848434698662e-05,2.945572078361293,2.946484060331924
-5.142848434698663e-05,2.942592628825772,2.946484060331924
-5.140848434698662e-05,2.94490997846451,2.943814113695001
-5.138848434698662e-05,2.947889428000032,2.945482830343078
-5.136848434698662e-05,2.947889428000032,2.947151546991155
-5.134848434698661e-05,2.943585778670945,2.945482830343076
-5.132848434698662e-05,2.943916828619336,2.941811653717309
-5.130848434698662e-05,2.948220477948423,2.942812883706155
-5.128848434698662e-05,2.949213627793597,2.944481600354232
-5.126848434698661e-05,2.947227328103248,2.946817803661539
-5.124848434698663e-05,2.944909978464511,2.945816573672694
-5.122848434698662e-05,2.944247878567727,2.945149087013462
-5.120848434698662e-05,2.944247878567727,2.945816573672693
-5.118848434698662e-05,2.944247878567728,2.945482830343078
-5.116848434698663e-05,2.944909978464509,2.944147857024617
-5.114848434698662e-05,2.945903128309684,2.944815343683847
-5.112848434698662e-05,2.948220477948423,2.945149087013462
-5.110848434698662e-05,2.947227328103249,2.947151546991155
-5.108848434698663e-05,2.946565228206467,2.948486520309616
-5.106848434698662e-05,2.944578928516119,2.947819033650386
-5.104848434698662e-05,2.943585778670945,2.948152776980001
-5.102848434698662e-05,2.945572078361293,2.945816573672693
-5.100848434698661e-05,2.948882577845207,2.944815343683848
-5.098848434698662e-05,2.950868877535554,2.946484060331924
-5.096848434698662e-05,2.948882577845206,2.948152776980001
-5.094848434698662e-05,2.945241028412902,2.948486520309616
-5.092848434698661e-05,2.945903128309685,2.946150317002309
-5.090848434698663e-05,2.947889428000032,2.947151546991155
-5.088848434698662e-05,2.948882577845206,2.94748529032077
-5.086848434698662e-05,2.947227328103249,2.948486520309616
-5.084848434698662e-05,2.944247878567729,2.94815277698
-5.082848434698663e-05,2.948220477948421,2.945816573672694
-5.080848434698662e-05,2.952524127277511,2.94748529032077
-5.078848434698662e-05,2.94987572769038,2.951490210276154
-5.076848434698662e-05,2.94490997846451,2.950155236957693
-5.074848434698663e-05,2.942923678774163,2.946817803661541
-5.072848434698662e-05,2.947889428000032,2.946817803661539
-5.070848434698662e-05,2.951530977432337,2.94748529032077
-5.068848434698662e-05,2.948551527896815,2.949154006968847
-5.066848434698661e-05,2.945241028412902,2.947151546991154
-5.064848434698662e-05,2.946565228206467,2.945816573672693
-5.062848434698662e-05,2.949213627793597,2.947151546991155
-5.060848434698662e-05,2.949544677741989,2.94748529032077
-5.058848434698661e-05,2.946565228206466,2.94748529032077
-5.056848434698663e-05,2.944247878567727,2.946817803661539
-5.054848434698662e-05,2.945241028412902,2.946150317002309
-5.052848434698662e-05,2.94490997846451,2.945482830343078
-5.050848434698662e-05,2.945903128309685,2.947151546991154
-5.048848434698663e-05,2.947227328103249,2.945482830343079
-5.046848434698662e-05,2.946565228206467,2.947151546991155
-5.044848434698662e-05,2.945241028412902,2.946817803661539
-5.042848434698662e-05,2.943916828619336,2.945816573672693
-5.040848434698663e-05,2.946565228206465,2.945482830343078
-5.038848434698662e-05,2.945572078361293,2.945816573672693
-5.036848434698662e-05,2.94226157887738,2.944481600354232
-5.034848434698662e-05,2.94226157887738,2.941811653717309
-5.032848434698663e-05,2.945903128309682,2.940476680398848
-5.030848434698662e-05,2.94987572769038,2.94247914037654
-5.028848434698662e-05,2.944247878567727,2.945149087013462
-5.026848434698662e-05,2.939282129341858,2.943814113695001
-5.024848434698661e-05,2.937295829651512,2.941144167058078
-5.022848434698662e-05,2.94226157887738,2.939809193739617
-5.020848434698662e-05,2.943585778670945,2.941477910387694
-5.018848434698662e-05,2.941599478980597,2.941144167058078
-5.016848434698662e-05,2.940606329135423,2.939141707080386
-5.014848434698663e-05,2.941599478980596,2.939809193739616
-5.012848434698662e-05,2.941930528928988,2.939809193739617
-5.010848434698662e-05,2.940606329135423,2.941477910387694
-5.008848434698662e-05,2.938951079393466,2.940476680398847
-5.006848434698663e-05,2.937626879599901,2.939475450410002
-5.004848434698662e-05,2.937957929548292,2.937472990432309
-5.002848434698662e-05,2.938951079393466,2.935804273784232
-5.000848434698662e-05,2.939613179290249,2.934803043795386
-4.998848434698663e-05,2.938620029445075,2.935470530454617
-4.996848434698662e-05,2.93497848001277,2.936138017113848
-4.994848434698662e-05,2.930343780735292,2.932800583817694
-4.992848434698662e-05,2.930674830683683,2.930130637180771
-4.990848434698661e-05,2.933654280219205,2.929463150521541
-4.988848434698662e-05,2.934647430064379,2.931131867169617
-4.986848434698662e-05,2.931999030477249,2.931799353828848
-4.984848434698662e-05,2.930343780735292,2.931799353828848
-4.982848434698662e-05,2.932330080425641,2.931465610499233
-4.980848434698663e-05,2.933985330167595,2.931799353828848
-4.978848434698662e-05,2.932661130374031,2.931465610499233
-4.976848434698662e-05,2.931005880632074,2.930464380510386
-4.974848434698662e-05,2.931999030477249,2.930130637180772
-4.972848434698663e-05,2.93233008042564,2.932133097158462
-4.970848434698662e-05,2.931667980528857,2.932133097158463
-4.968848434698662e-05,2.931667980528857,2.931131867169617
-4.966848434698662e-05,2.933654280219205,2.931465610499233
-4.964848434698663e-05,2.935971629857943,2.933134327147308
-4.962848434698662e-05,2.93497848001277,2.935804273784232
-4.960848434698662e-05,2.933985330167596,2.937139247102694
-4.958848434698662e-05,2.933654280219205,2.936138017113848
-4.956848434698661e-05,2.933654280219205,2.936805503773078
-4.954848434698662e-05,2.93497848001277,2.937139247102694
-4.952848434698662e-05,2.935309529961162,2.935804273784232
-4.950848434698662e-05,2.938951079393466,2.936805503773078
-4.948848434698662e-05,2.941930528928987,2.937139247102695
-4.946848434698663e-05,2.940275279187032,2.939475450410001
-4.944848434698662e-05,2.937626879599901,2.940142937069232
-4.942848434698662e-05,2.936633729754727,2.93814047709154
-4.940848434698662e-05,2.93961317929025,2.937139247102694
-4.938848434698663e-05,2.941599478980596,2.937472990432309
-4.936848434698662e-05,2.940937379083814,2.93880796375077
-4.934848434698662e-05,2.938951079393466,2.93814047709154
-4.932848434698662e-05,2.940606329135423,2.937806733761925
-4.930848434698663e-05,2.941268429032205,2.938474220421155
-4.928848434698662e-05,2.938288979496683,2.938474220421155
-4.926848434698662e-05,2.93497848001277,2.938474220421155
-4.924848434698662e-05,2.935640579909553,2.937139247102694
-4.922848434698661e-05,2.939282129341857,2.937806733761924
-4.920848434698662e-05,2.938620029445075,2.936805503773078
-4.918848434698662e-05,2.937957929548292,2.938474220421155
-4.916848434698662e-05,2.939613179290249,2.937806733761925
-4.914848434698661e-05,2.938951079393465,2.939475450410002
-4.912848434698663e-05,2.936633729754728,2.939141707080386
-4.910848434698662e-05,2.93497848001277,2.937806733761925
-4.908848434698662e-05,2.939282129341858,2.937139247102694
-4.906848434698662e-05,2.940275279187031,2.93880796375077
-4.904848434698663e-05,2.938288979496684,2.939141707080386
-4.902848434698662e-05,2.936302679806336,2.93880796375077
-4.900848434698662e-05,2.936302679806336,2.937472990432309
-4.898848434698662e-05,2.938951079393466,2.938474220421155
-4.896848434698663e-05,2.938951079393466,2.939475450410001
