#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DECA
#Date Time: 2023-12-07 21:01:11.056
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 3.03 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: -2.95 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2 V Attenuation: 1 X Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.1 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-4.09575e-05,3.048197562362604,-0.003139486808676928
-4.09475e-05,3.048197562362604,-0.003139486808676928
-4.09375e-05,3.049190712207778,-0.003473230138290824
-4.09275e-05,3.048197562362605,-0.0008032835013701486
-4.09175e-05,3.048859662259387,-0.002472000149445819
-4.09075e-05,3.048859662259387,-0.001470770160600043
-4.08975e-05,3.048197562362604,-0.001137026830984489
-4.08875e-05,3.048528612310995,-0.0004695401717541275
-4.08775e-05,3.04952176215617,-0.001137026830984489
-4.08675e-05,3.048197562362604,-0.001137026830984489
-4.08575e-05,3.049190712207778,-0.002138256819830708
-4.08475e-05,3.047535462465822,-0.002138256819830405
-4.08375e-05,3.047866512414213,-0.001470770160600043
-4.08275e-05,3.047866512414213,-0.0008032835013689343
-4.08175e-05,3.04720441251743,-0.001804513490215154
-4.08075e-05,3.047535462465821,-0.002472000149445515
-4.07975e-05,3.046873362569039,-0.001804513490215457
-4.07875e-05,3.0445560129303,-0.001470770160600043
-4.07775e-05,3.047535462465822,-0.003806973467907593
-4.07675e-05,3.048197562362604,-0.003806973467906682
-4.07575e-05,3.047866512414213,-0.001804513490216065
-4.07475e-05,3.048859662259387,-0.002805743479061373
-4.07375e-05,3.049852812104561,-0.001470770160600043
-4.07275e-05,3.048528612310995,-0.001470770160600043
-4.07175e-05,3.047866512414213,-0.0001357968421388765
-4.07075e-05,3.050183862052952,0.0001979464874768411
-4.06975e-05,3.048528612310995,-0.0001357968421382694
-4.06875e-05,3.048528612310995,-0.001137026830984489
-4.06775e-05,3.045218112827083,-0.001137026830985551
-4.06675e-05,3.046542312620648,-0.003473230138292038
-4.06575e-05,3.046873362569039,-0.003473230138292038
-4.06475e-05,3.047866512414213,-0.002805743479061373
-4.06375e-05,3.047535462465822,-0.001470770160601257
-4.06275e-05,3.047535462465822,-0.004140716797521489
-4.06175e-05,3.049190712207778,-0.001470770160600043
-4.06075e-05,3.049190712207778,-0.001804513490215154
-4.05975e-05,3.048528612310995,-0.001470770160600499
